Element,Type,Text
A-101,Sheet Name,Ground Floor Plan
A-102,Sheet Name,Reflected Ceiling Plan - Level 2
A-103,Sheet Name,Enlarged Toilet Plan (clearence to verify)
V-201,View Name,Section - Stair Core TBD
R-115,Room Name,Electical Riser
R-116,Room Name,Mechnical Plant Room
KN-01,Keynote,Provide fire-rated partition as per schedual and aproved drawings
KN-02,Keynote,Align finish with the the adjacent slab
KN-03,Keynote,Existng structual wall to remain - do not use
GN-01,General Note,All dimention to be confirmed on site (XXX)
